genome.acc	system	system.number	seqid	system.subtype	genome	domain	phylum	class	order	family	genus	species
GCA_000007065.1	RM	27	AE008384.1	RM_type_IIG	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	RM	28	AE008384.1	RM_type_IV	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	SEFIR	29	AE008384.1	SEFIR	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	SoFic	30	AE008384.1	SoFic	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	SoFic	31	AE008384.1	SoFic	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	cas	32	AE008384.1	cas_type_I-B1	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	cas	33	AE008384.1	cas_type_III-C	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	cas	34	AE008384.1	cas_type_other	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	disarm	35	AE008384.1	disarm_type_II	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	kiwa	36	AE008384.1	kiwa	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007185.1	argonaute	4	AE009439.1	argonaute_solo	GCA_000007185	d__Archaea	p__Methanobacteriota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus kandleri
GCA_000007185.1	cas	5	AE009439.1	cas_type_III-A	GCA_000007185	d__Archaea	p__Methanobacteriota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus kandleri
GCA_000007185.1	cas	6	AE009439.1	cas_type_III-B	GCA_000007185	d__Archaea	p__Methanobacteriota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus kandleri
GCA_000007225.1	PDC-S01	3	AE009441.1	PDC-S01	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	PDC-S01	4	AE009441.1	PDC-S01	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	PDC-S27	5	AE009441.1	PDC-S27	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	PDC-S70	6	AE009441.1	PDC-S70	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	PDC-S70	7	AE009441.1	PDC-S70	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	RM	8	AE009441.1	RM_type_II	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	RM	9	AE009441.1	RM_type_IIG	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	cas	10	AE009441.1	cas_type_I-A	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	cas	11	AE009441.1	cas_type_III-A	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007225.1	cas	12	AE009441.1	cas_type_other	GCA_000007225	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum aerophilum
GCA_000007305.1	PD-T4-6	3	AE009950.1	PD-T4-6	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S01	4	AE009950.1	PDC-S01	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S01	5	AE009950.1	PDC-S01	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S01	6	AE009950.1	PDC-S01	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S10	7	AE009950.1	PDC-S10	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	10	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	11	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	12	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	13	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	8	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	PDC-S27	9	AE009950.1	PDC-S27	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	ShosTA	14	AE009950.1	ShosTA	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	argonaute	15	AE009950.1	argonaute_solo	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	cas	16	AE009950.1	cas_type_I-A	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	cas	17	AE009950.1	cas_type_I-B1	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007305.1	cas	18	AE009950.1	cas_type_III-B	GCA_000007305	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus furiosus
GCA_000007345.1	HEC-06	6	AE010299.1	HEC-06	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-M19	7	AE010299.1	PDC-M19	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S01	10	AE010299.1	PDC-S01	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S01	11	AE010299.1	PDC-S01	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S01	12	AE010299.1	PDC-S01	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S01	8	AE010299.1	PDC-S01	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S01	9	AE010299.1	PDC-S01	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S02	13	AE010299.1	PDC-S02	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S02	14	AE010299.1	PDC-S02	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S07	15	AE010299.1	PDC-S07	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	16	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	17	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	18	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	19	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	20	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S09	21	AE010299.1	PDC-S09	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S27	22	AE010299.1	PDC-S27	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S27	23	AE010299.1	PDC-S27	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	PDC-S37	24	AE010299.1	PDC-S37	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	RM	25	AE010299.1	RM_type_I	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	RM	26	AE010299.1	RM_type_I	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	RM	27	AE010299.1	RM_type_IV	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	RM	28	AE010299.1	RM_type_IV	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	SoFic	29	AE010299.1	SoFic	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	SoFic	30	AE010299.1	SoFic	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	argonaute	31	AE010299.1	argonaute_type_I	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	cas	32	AE010299.1	cas_type_I-B1	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	cas	33	AE010299.1	cas_type_III-A	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000007345.1	gabija	34	AE010299.1	gabija	GCA_000007345	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
GCA_000008085.1	cas	2	AE017199.1	cas_type_I-B1	GCA_000008085	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Nanoarchaeales	f__Nanoarchaeaceae	g__Nanoarchaeum	s__Nanoarchaeum equitans
GCA_000008085.1	cas	3	AE017199.1	cas_type_other	GCA_000008085	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Nanoarchaeales	f__Nanoarchaeaceae	g__Nanoarchaeum	s__Nanoarchaeum equitans
GCA_000008265.1	AbiE	1	AE017261.1	AbiE	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	PDC-S37	3	AE017261.1	PDC-S37	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	RM	4	AE017261.1	RM_type_I	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	RM	5	AE017261.1	RM_type_II	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	cas	6	AE017261.1	cas_type_I-D	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	cas	7	AE017261.1	cas_type_III-A	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008265.1	cas	8	AE017261.1	cas_type_other	GCA_000008265	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
GCA_000008645.1	PDC-S27	3	AE000666.1	PDC-S27	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
GCA_000008645.1	PDC-S37	4	AE000666.1	PDC-S37	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
GCA_000008645.1	RM	5	AE000666.1	RM_type_I	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
GCA_000008645.1	RM	6	AE000666.1	RM_type_II	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
GCA_000008645.1	cas	7	AE000666.1	cas_type_I-B1	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
GCA_000008645.1	cas	8	AE000666.1	cas_type_III-A	GCA_000008645	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
